stationid,highwayid,milepost,locationtext,length,upstream,downstream,numberlanes,length_mid,downstream_mile,upstream_mile,agencyid,opposite_stationid,segment_geom,station_geom,start_date,end_date,lon,lat,detectortype,detectorlocation,agency,region,active_dates,id,station_location_id
3164,3,21.68,Halsey (2DS004) @ NB I-205 MP21.68,1.145,1142,1140,3,1.145,22.545,21.400,273,,0102000020110F000019000000DE93870D0C066AC160E5D03A98C35541AA6054F209066AC170E7FB25CAC35541CDCCCCE608066AC120DBF906D8C355414E62109E06066AC1F0B0505BF6C3554190C2F56E04066AC118C05B980EC45541A0F8313E04066AC1E00B93B510C45541386744CD03066AC1D8C56D3416C45541F9A0674103066AC1F0B050031DC45541EA73B5A702066AC1D8F97E7E24C455410C71AC01FD056AC100780B8458C455413E7958F4F8056AC1D019517E89C455411826534BF4056AC1D878E9DEC1C45541F6B9DACAF1056AC1C07D1DB4E1C45541F263CC7BF0056AC1004D8409F0C45541A4DFBE2EEE056AC160EE5AC206C555419A081B36EB056AC198900FE21CC55541A01A2F9BE7056AC1B003E75838C55541C07D1DACE5056AC168BC744349C555411C7C6126DD056AC1B01C5A688AC555415A643B87D5056AC1A83E577BBEC555417A36ABA6D2056AC1509621A6D5C55541E09C1173CF056AC1B8F3FDA4EBC55541BBB88D4ECC056AC100917E9304C655410C71ACE7C9056AC120EBE20A18C6554179E9261FC9056AC1D8D781131FC65541,0101000020110F0000048BF733FF056AC164D335FC63C45541,2014-12-02 15:52:00-08,2014-12-04 15:15:00-08,-122.564067862158,45.5349038863559,,,ODOT,,"[2014-12-02,2014-12-04)",640006,148
3164,3,21.68,Halsey (2DS004) @ NB I-205 MP21.68,0.790,10584,10580,3,0.790,22.350,21.560,273,,0102000020110F000019000000DE93870D0C066AC160E5D03A98C35541AA6054F209066AC170E7FB25CAC35541CDCCCCE608066AC120DBF906D8C355414E62109E06066AC1F0B0505BF6C3554190C2F56E04066AC118C05B980EC45541A0F8313E04066AC1E00B93B510C45541386744CD03066AC1D8C56D3416C45541F9A0674103066AC1F0B050031DC45541EA73B5A702066AC1D8F97E7E24C455410C71AC01FD056AC100780B8458C455413E7958F4F8056AC1D019517E89C455411826534BF4056AC1D878E9DEC1C45541F6B9DACAF1056AC1C07D1DB4E1C45541F263CC7BF0056AC1004D8409F0C45541A4DFBE2EEE056AC160EE5AC206C555419A081B36EB056AC198900FE21CC55541A01A2F9BE7056AC1B003E75838C55541C07D1DACE5056AC168BC744349C555411C7C6126DD056AC1B01C5A688AC555415A643B87D5056AC1A83E577BBEC555417A36ABA6D2056AC1509621A6D5C55541E09C1173CF056AC1B8F3FDA4EBC55541BBB88D4ECC056AC100917E9304C655410C71ACE7C9056AC120EBE20A18C6554179E9261FC9056AC1D8D781131FC65541,0101000020110F0000048BF733FF056AC164D335FC63C45541,2019-10-14 19:20:40-07,,-122.564067862158,45.5349038863559,,,ODOT,,"[2019-10-14,)",655802,148
3164,3,21.68,Halsey (2DS004) @ NB I-205 MP21.68,1.075,1142,3106,3,1.075,22.475,21.400,273,,0102000020110F000019000000DE93870D0C066AC160E5D03A98C35541AA6054F209066AC170E7FB25CAC35541CDCCCCE608066AC120DBF906D8C355414E62109E06066AC1F0B0505BF6C3554190C2F56E04066AC118C05B980EC45541A0F8313E04066AC1E00B93B510C45541386744CD03066AC1D8C56D3416C45541F9A0674103066AC1F0B050031DC45541EA73B5A702066AC1D8F97E7E24C455410C71AC01FD056AC100780B8458C455413E7958F4F8056AC1D019517E89C455411826534BF4056AC1D878E9DEC1C45541F6B9DACAF1056AC1C07D1DB4E1C45541F263CC7BF0056AC1004D8409F0C45541A4DFBE2EEE056AC160EE5AC206C555419A081B36EB056AC198900FE21CC55541A01A2F9BE7056AC1B003E75838C55541C07D1DACE5056AC168BC744349C555411C7C6126DD056AC1B01C5A688AC555415A643B87D5056AC1A83E577BBEC555417A36ABA6D2056AC1509621A6D5C55541E09C1173CF056AC1B8F3FDA4EBC55541BBB88D4ECC056AC100917E9304C655410C71ACE7C9056AC120EBE20A18C6554179E9261FC9056AC1D8D781131FC65541,0101000020110F0000048BF733FF056AC164D335FC63C45541,2014-12-04 15:15:00-08,2019-10-14 19:20:40-07,-122.564067862158,45.5349038863559,,,ODOT,,"[2014-12-04,2019-10-14)",640344,148
3105,4,21.68,Halsey (2DS004) @ SB I-205 MP21.68,1.075,3107,1143,4,1.075,21.400,22.475,297,,0102000020110F000017000000D34D629AD1056AC10881950F12C65541DDB58462D5056AC1D83D7924F4C5554162105815E1056AC13845479EA3C5554171AC8BF1EA056AC1504013855CC555415E4BC8F5ED056AC1D812F2A142C55541D34D626CF1056AC15886384A29C555410A462507F4056AC110C7BA8C15C555413867448BF5056AC1A83E572708C55541EEEBC02DF6056AC1708A8E0402C55541454772E1F6056AC110E02D68F6C455410E9C3316F9056AC1A089B061D6C4554114D0440AFC056AC110D0449CA9C45541C8293ADC00066AC1E0B5842C66C45541D34D626A06066AC1102DB2E12CC455413CBD529E08066AC130B29DD314C45541363CBD4609066AC130FF21A50DC4554124287ECE09066AC1E861A1DA07C4554177BE9F880A066AC138D6C5E9FFC3554121B0727A0C066AC110BE3089E8C35541D634EF200D066AC170C5FE8ADFC35541865AD3160E066AC14872F943D2C35541BC9690890F066AC190CB7FF4B5C35541D85F76EB0F066AC1A0F831AEABC35541,0101000020110F00001B065B9F05066AC1954011B063C45541,2014-10-23 13:02:40-07,2014-10-24 13:02:40-07,-122.5645292,45.5348964,,,ODOT,,"[2014-10-23,2014-10-24)",638560,168
3105,4,21.68,Halsey (2DS004) @ SB I-205 MP21.68,1.145,1141,1143,4,1.145,21.400,22.545,297,,0102000020110F000017000000D34D629AD1056AC10881950F12C65541DDB58462D5056AC1D83D7924F4C5554162105815E1056AC13845479EA3C5554171AC8BF1EA056AC1504013855CC555415E4BC8F5ED056AC1D812F2A142C55541D34D626CF1056AC15886384A29C555410A462507F4056AC110C7BA8C15C555413867448BF5056AC1A83E572708C55541EEEBC02DF6056AC1708A8E0402C55541454772E1F6056AC110E02D68F6C455410E9C3316F9056AC1A089B061D6C4554114D0440AFC056AC110D0449CA9C45541C8293ADC00066AC1E0B5842C66C45541D34D626A06066AC1102DB2E12CC455413CBD529E08066AC130B29DD314C45541363CBD4609066AC130FF21A50DC4554124287ECE09066AC1E861A1DA07C4554177BE9F880A066AC138D6C5E9FFC3554121B0727A0C066AC110BE3089E8C35541D634EF200D066AC170C5FE8ADFC35541865AD3160E066AC14872F943D2C35541BC9690890F066AC190CB7FF4B5C35541D85F76EB0F066AC1A0F831AEABC35541,0101000020110F00001B065B9F05066AC1954011B063C45541,2014-12-03 06:23:20-08,2014-12-04 15:15:00-08,-122.5645292,45.5348964,,,ODOT,,"[2014-12-03,2014-12-04)",640175,168
3105,4,21.68,Halsey (2DS004) @ SB I-205 MP21.68,1.535,1141,1051,4,1.535,21.010,22.545,297,,0102000020110F000017000000D34D629AD1056AC10881950F12C65541DDB58462D5056AC1D83D7924F4C5554162105815E1056AC13845479EA3C5554171AC8BF1EA056AC1504013855CC555415E4BC8F5ED056AC1D812F2A142C55541D34D626CF1056AC15886384A29C555410A462507F4056AC110C7BA8C15C555413867448BF5056AC1A83E572708C55541EEEBC02DF6056AC1708A8E0402C55541454772E1F6056AC110E02D68F6C455410E9C3316F9056AC1A089B061D6C4554114D0440AFC056AC110D0449CA9C45541C8293ADC00066AC1E0B5842C66C45541D34D626A06066AC1102DB2E12CC455413CBD529E08066AC130B29DD314C45541363CBD4609066AC130FF21A50DC4554124287ECE09066AC1E861A1DA07C4554177BE9F880A066AC138D6C5E9FFC3554121B0727A0C066AC110BE3089E8C35541D634EF200D066AC170C5FE8ADFC35541865AD3160E066AC14872F943D2C35541BC9690890F066AC190CB7FF4B5C35541D85F76EB0F066AC1A0F831AEABC35541,0101000020110F00001B065B9F05066AC1954011B063C45541,2014-12-02 15:52:20-08,2014-12-03 06:23:20-08,-122.5645292,45.5348964,,,ODOT,,"[2014-12-02,2014-12-03)",640007,168
3105,4,21.68,Halsey (2DS004) @ SB I-205 MP21.68,0.950,10582,1143,4,0.950,21.400,22.350,297,,0102000020110F000017000000D34D629AD1056AC10881950F12C65541DDB58462D5056AC1D83D7924F4C5554162105815E1056AC13845479EA3C5554171AC8BF1EA056AC1504013855CC555415E4BC8F5ED056AC1D812F2A142C55541D34D626CF1056AC15886384A29C555410A462507F4056AC110C7BA8C15C555413867448BF5056AC1A83E572708C55541EEEBC02DF6056AC1708A8E0402C55541454772E1F6056AC110E02D68F6C455410E9C3316F9056AC1A089B061D6C4554114D0440AFC056AC110D0449CA9C45541C8293ADC00066AC1E0B5842C66C45541D34D626A06066AC1102DB2E12CC455413CBD529E08066AC130B29DD314C45541363CBD4609066AC130FF21A50DC4554124287ECE09066AC1E861A1DA07C4554177BE9F880A066AC138D6C5E9FFC3554121B0727A0C066AC110BE3089E8C35541D634EF200D066AC170C5FE8ADFC35541865AD3160E066AC14872F943D2C35541BC9690890F066AC190CB7FF4B5C35541D85F76EB0F066AC1A0F831AEABC35541,0101000020110F00001B065B9F05066AC1954011B063C45541,2019-10-14 19:20:40-07,,-122.5645292,45.5348964,,,ODOT,,"[2019-10-14,)",655628,168
3105,4,21.68,Halsey (2DS004) @ SB I-205 MP21.68,1.075,3107,1143,4,1.075,21.400,22.475,297,,0102000020110F000017000000D34D629AD1056AC10881950F12C65541DDB58462D5056AC1D83D7924F4C5554162105815E1056AC13845479EA3C5554171AC8BF1EA056AC1504013855CC555415E4BC8F5ED056AC1D812F2A142C55541D34D626CF1056AC15886384A29C555410A462507F4056AC110C7BA8C15C555413867448BF5056AC1A83E572708C55541EEEBC02DF6056AC1708A8E0402C55541454772E1F6056AC110E02D68F6C455410E9C3316F9056AC1A089B061D6C4554114D0440AFC056AC110D0449CA9C45541C8293ADC00066AC1E0B5842C66C45541D34D626A06066AC1102DB2E12CC455413CBD529E08066AC130B29DD314C45541363CBD4609066AC130FF21A50DC4554124287ECE09066AC1E861A1DA07C4554177BE9F880A066AC138D6C5E9FFC3554121B0727A0C066AC110BE3089E8C35541D634EF200D066AC170C5FE8ADFC35541865AD3160E066AC14872F943D2C35541BC9690890F066AC190CB7FF4B5C35541D85F76EB0F066AC1A0F831AEABC35541,0101000020110F00001B065B9F05066AC1954011B063C45541,2014-12-04 15:15:00-08,2019-10-14 19:20:40-07,-122.5645292,45.5348964,,,ODOT,,"[2014-12-04,2019-10-14)",640345,168
3107,4,23.27,Prescott (2DS005) @ SB I-205 MP23.27,0.865,1141,3105,4,0.865,22.475,23.340,269,,0102000020110F000027000000BC9690FB2D066AC1E0361A38B4C75541F48E53262E066AC190976E12ADC7554114AE47272E066AC1A80A461DA2C755410A6822B22D066AC178832F1098C75541560E2DAE2C066AC1C8BAB8498DC75541703D0A732B066AC1408B6C5B81C755413108AC162A066AC100B37B5676C75541EE5A428628066AC1B0EA73456AC75541EC9E3C0E26066AC1E8E236AE5CC75541569FABEB22066AC150499D644EC75541211FF42A20066AC1F897DD4743C75541FFB27B881E066AC1C00E9C473DC755416007CE1B1D066AC1F038456F38C7554126E483AE1B066AC148EA044434C755415D6DC5D417066AC160764FB228C7554101DE021714066AC1904AEAE81EC75541E2E9958A0F066AC1D8F0F46E14C755415D6DC5FC08066AC16032557006C755417CD0B351F9056AC1F8EDEBB8E7C655414E62104EEF056AC12897FF1CD4C655414260E586E9056AC1F8285CBFC7C655417446944EE4056AC14837898DBCC6554130BB2737E0056AC1182FDD18B2C655416ABC7459DC056AC1F016486CA7C655416519E2F4D8056AC128CB10EB9BC6554120D26F3BD6056AC1A0CDAA4B91C65541D34D62BED3056AC1381136FC85C65541DD240609D2056AC130772D097CC65541107A36DFD0056AC1F8A9F15671C65541EA73B511D0056AC1D881736E6AC6554152499D8CCF056AC120166AF565C655416D567DE4CE056AC1D8F0F4B65CC65541D8F0F44ECE056AC110BE306551C655414082E22FCE056AC1408B6CF349C65541DC680019CE056AC1A0703D7A44C6554106819581CE056AC158643BF335C655415A643B5FCF056AC19053742C27C6554192ED7C23D1056AC110E02DBC15C65541D34D629AD1056AC10881950F12C65541,0101000020110F0000782B14512E066AC1C33CF58699C75541,2014-10-23 13:02:40-07,2014-10-24 13:02:40-07,-122.5674537,45.5555782,,,ODOT,,"[2014-10-23,2014-10-24)",638643,144
3107,4,23.27,Prescott (2DS005) @ SB I-205 MP23.27,0.195,1141,10582,4,0.195,23.145,23.340,269,,0102000020110F000027000000BC9690FB2D066AC1E0361A38B4C75541F48E53262E066AC190976E12ADC7554114AE47272E066AC1A80A461DA2C755410A6822B22D066AC178832F1098C75541560E2DAE2C066AC1C8BAB8498DC75541703D0A732B066AC1408B6C5B81C755413108AC162A066AC100B37B5676C75541EE5A428628066AC1B0EA73456AC75541EC9E3C0E26066AC1E8E236AE5CC75541569FABEB22066AC150499D644EC75541211FF42A20066AC1F897DD4743C75541FFB27B881E066AC1C00E9C473DC755416007CE1B1D066AC1F038456F38C7554126E483AE1B066AC148EA044434C755415D6DC5D417066AC160764FB228C7554101DE021714066AC1904AEAE81EC75541E2E9958A0F066AC1D8F0F46E14C755415D6DC5FC08066AC16032557006C755417CD0B351F9056AC1F8EDEBB8E7C655414E62104EEF056AC12897FF1CD4C655414260E586E9056AC1F8285CBFC7C655417446944EE4056AC14837898DBCC6554130BB2737E0056AC1182FDD18B2C655416ABC7459DC056AC1F016486CA7C655416519E2F4D8056AC128CB10EB9BC6554120D26F3BD6056AC1A0CDAA4B91C65541D34D62BED3056AC1381136FC85C65541DD240609D2056AC130772D097CC65541107A36DFD0056AC1F8A9F15671C65541EA73B511D0056AC1D881736E6AC6554152499D8CCF056AC120166AF565C655416D567DE4CE056AC1D8F0F4B65CC65541D8F0F44ECE056AC110BE306551C655414082E22FCE056AC1408B6CF349C65541DC680019CE056AC1A0703D7A44C6554106819581CE056AC158643BF335C655415A643B5FCF056AC19053742C27C6554192ED7C23D1056AC110E02DBC15C65541D34D629AD1056AC10881950F12C65541,0101000020110F0000782B14512E066AC1C33CF58699C75541,2019-10-14 19:20:40-07,,-122.5674537,45.5555782,,,ODOT,,"[2019-10-14,)",655662,144
